accident_id,latitude,longitude,state,zone_name,hour,,light_condition,speed_limit,vehicles_involved,injuries_count,fatalities_count,accident_severity,random_noise_column,weather_dust,weather_fog,weather_hail,weather_overcast,weather_rain,traffic_density_low,traffic_density_medium,road_type_rural road,road_type_state highway,road_type_urban road,cluster,dbscan_cluster,level,Date,Time
a000001,13.049344,80.280267,tamil nadu,chennai,6,,daylight,80,2,3,0,high,-0.631034552,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0,0,Low,19-08-2016,Morning
a000002,26.860652,75.770431,rajasthan,jaipur,17,,daylight,60,3,1,0,medium,1.5380956196935565,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,1,0,High,07-07-2017,Evening
a000003,22.554581,88.355149,west bengal,kolkata,18,,darkness - lights lit,80,1,3,0,high,0.9560805434516716,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,High,23-04-2017,Night
a000004,11.038954,76.960941,tamil nadu,coimbatore,4,,darkness - lights lit,120,2,3,1,high,-2.36136997,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,Low,24-08-2017,Morning
a000005,28.078364,73.762755,various,rural area,0,,darkness - lights lit,30,2,0,0,low,-1.508660969,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,2,0,Medium,06-07-2023,Evening
a000006,19.061625,72.87213,maharashtra,mumbai,9,,daylight,30,3,1,0,low,1.1764573632886546,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,0,Medium,09-04-2021,Afternoon
a000007,22.943908,72.596057,gujarat,ahmedabad,0,,darkness - lights lit,120,2,3,0,high,-0.1089087,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2,0,Medium,28-08-2019,Afternoon
a000008,19.091043,72.912446,maharashtra,mumbai,21,,darkness - lights lit,80,4,1,0,medium,1.1232595994164143,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,Medium,12-03-2022,Morning
a000009,10.985384,78.790318,tamil nadu,coimbatore-patna corridor,5,,darkness - lights lit,80,3,4,0,high,0.3304141224253976,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0,0,Low,12-01-2021,Morning
a000010,26.892625,75.787418,rajasthan,jaipur,8,,daylight,80,3,5,0,high,0.8176562844472307,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,0,High,13-05-2020,Evening
a000011,17.370197,78.514395,telangana,hyderabad,7,,daylight,40,1,0,0,low,0.2782154551480468,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0,0,Low,16-03-2025,Afternoon
a000012,21.118217,79.134698,maharashtra,nagpur,22,,darkness - lights lit,60,3,4,1,high,0.8733041939084696,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,1,0,High,29-07-2025,Night
a000013,18.483291,73.817086,maharashtra,pune,19,,darkness - lights lit,60,2,1,0,low,-0.864546239,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2,0,Medium,20-08-2018,Night
a000014,13.087945,80.234194,tamil nadu,chennai,18,,darkness - lights lit,100,1,4,0,medium,-0.499488238,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,Low,26-03-2024,Night
a000015,13.056015,80.246226,tamil nadu,chennai,23,,darkness - lights lit,60,3,1,0,medium,-1.149532282,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0,0,Low,07-12-2017,Evening
a000016,30.868873,75.871774,punjab,ludhiana,22,,darkness - lights lit,40,1,7,0,high,-0.761879314,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,1,0,High,24-06-2020,Night
a000017,21.175395,72.84266,gujarat,surat,16,,daylight,30,1,2,0,low,0.2111632951660581,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,0,Medium,03-02-2023,Afternoon
a000018,17.713954,83.200383,andhra pradesh,visakhapatnam,20,,darkness - lights lit,80,4,3,0,high,-0.503440187,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0,0,Low,31-07-2018,Night
a000019,26.91614,80.890182,uttar pradesh,lucknow,8,,daylight,120,3,2,0,medium,-1.576160497,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,High,02-10-2018,Night
a000020,30.972671,75.912602,punjab,ludhiana,17,,daylight,60,3,0,0,medium,-0.134551992,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,0,High,04-04-2020,Morning
a000021,29.735483,88.183252,various,rural area,11,,daylight,80,4,4,0,high,1.5900814800974798,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,1,-1,High,27-05-2020,Morning
