accident_id,latitude,longitude,state,zone_name,hour,day_of_week,weather,light_condition,traffic_density,road_type,speed_limit,vehicles_involved,injuries_count,fatalities_count,accident_severity,random_noise_column
A000001,13.049344,80.280267,Tamil Nadu,Chennai,6,Mon,Clear,Daylight,Medium,Rural Road,80.0,2,3.0,0,High,-0.6310345519140174
A000002,26.860652,75.770431,Rajasthan,Jaipur,17,Tue,Clear,Daylight,Medium,State Highway,60.0,3,1.0,0,Medium,1.5380956196935565
A000003,22.554581,88.355149,West Bengal,Kolkata,18,Sat,Clear,Darkness - lights lit,High,National Highway,80.0,1,3.0,0,High,0.9560805434516717
A000004,11.038954,76.960941,Tamil Nadu,Coimbatore,4,Mon,Clear,Darkness - lights lit,Medium,National Highway,120.0,2,3.0,1,High,-2.361369970333281
A000005,28.078364,73.762755,Various,Rural Area,0,Thu,Rain,Darkness - lights lit,Medium,Urban Road,30.0,2,0.0,0,Low,-1.508660968889029
A000006,19.061625,72.87213,Maharashtra,Mumbai,9,Mon,Clear,Daylight,,Urban Road,30.0,3,1.0,0,Low,1.1764573632886546
A000007,22.943908,72.596057,Gujarat,Ahmedabad,0,Fri,Clear,Darkness - lights lit,Medium,National Highway,120.0,2,3.0,0,High,-0.10890870021970217
A000008,19.091043,72.912446,Maharashtra,Mumbai,21,Fri,Rain,Darkness - lights lit,High,National Highway,80.0,4,1.0,0,Medium,1.1232595994164145
A000009,10.985384,78.790318,Tamil Nadu,Coimbatore-Patna Corridor,5,Thu,Clear,Darkness - lights lit,Medium,Rural Road,80.0,3,4.0,0,High,0.3304141224253976
A000010,26.892625,75.787418,Rajasthan,Jaipur,8,Sun,Dust,Daylight,Medium,National Highway,80.0,3,5.0,0,High,0.8176562844472307
A000011,17.370197,78.514395,Telangana,Hyderabad,7,Sat,Clear,Daylight,Medium,Urban Road,40.0,1,0.0,0,Low,0.2782154551480468
A000012,21.118217,79.134698,Maharashtra,Nagpur,22,Wed,clear,Darkness - lights lit,Low,State Highway,60.0,3,4.0,1,High,0.8733041939084696
A000013,18.483291,73.817086,Maharashtra,Pune,19,Sun,Fog,Darkness - lights lit,High,Rural Road,60.0,2,1.0,0,Low,-0.8645462392606608
A000014,13.087945,80.234194,Tamil Nadu,Chennai,18,Mon,Rain,Darkness - lights lit,High,National Highway,100.0,1,4.0,0,Medium,-0.4994882375704263
A000015,13.056015,80.246226,Tamil Nadu,Chennai,23,Wed,Clear,Darkness - lights lit,Medium,Rural Road,60.0,3,1.0,0,Medium,-1.1495322815110525
A000016,30.868873,75.871774,Punjab,Ludhiana,22,Wed,Hail,Darkness - lights lit,Medium,Rural Road,40.0,1,7.0,0,High,-0.7618793143616692
A000017,21.175395,72.84266,Gujarat,Surat,16,Fri,Clear,Daylight,High,Urban Road,30.0,1,2.0,0,Low,0.2111632951660581
A000018,17.713954,83.200383,Andhra Pradesh,Visakhapatnam,20,Mon,Fog,Darkness - lights lit,Medium,Rural Road,80.0,4,3.0,0,High,-0.5034401867144648
A000019,26.91614,80.890182,Uttar Pradesh,Lucknow,8,Sun,Clear,Daylight,,National Highway,120.0,3,2.0,0,Medium,-1.576160497371409
A000020,30.972671,75.912602,Punjab,Ludhiana,17,Sun,Rain,Daylight,High,Rural Road,60.0,3,0.0,0,Medium,-0.13455199190284717
A000021,29.735483,88.183252,Various,Rural Area,11,Fri,Clear,Daylight,Low,urban road,80.0,4,4.0,0,High,1.5900814800974798
A000022,13.186176,77.244244,Karnataka,Bengaluru-Delhi Corridor,13,Sun,Clear,Daylight,Medium,National Highway,100.0,2,1.0,0,High,0.7657950287801943
A000023,12.983749,77.621892,Karnataka,Bengaluru,6,Sun,Clear,Daylight,Low,Urban Road,30.0,4,0.0,0,Low,-0.3715101403440336
A000024,18.038669,95.874526,Various,Rural Area,21,Sun,Clear,Darkness - lights lit,Low,National Highway,80.0,1,1.0,0,Low,0.20958003914990747
A000025,17.872029,76.707887,Rajasthan,Visakhapatnam-Jaipur Corridor,18,Sat,Rain,Darkness - lights lit,High,Rural Road,60.0,2,3.0,0,Low,0.6970057919992887
A000026,19.46483,78.201079,Madhya Pradesh,Hyderabad-Bhopal Corridor,4,Tue,Dust,Darkness - lights lit,high,Urban Road,50.0,3,1.0,0,Low,0.8557784899328209
A000027,32.715786,84.629699,Various,Rural Area,17,Wed,Clear,Daylight,Low,State Highway,,5,2.0,1,High,0.8310778240170347
A000028,12.983988,77.577688,Karnataka,Bengaluru,17,Fri,Clear,Daylight,High,National Highway,120.0,1,2.0,1,High,-0.5571689206437229
A000029,17.363447,78.480297,Telangana,Hyderabad,19,Fri,Clear,Darkness - lights lit,High,State Highway,100.0,1,0.0,0,Medium,0.5291296466762057
A000030,23.060634,72.594526,Gujarat,Ahmedabad,16,Tue,Overcast,Daylight,Medium,State Highway,80.0,2,,2,High,-0.008725616959204045
A000031,17.712107,83.18651,Andhra Pradesh,Visakhapatnam,3,Wed,Clear,Darkness - lights lit,Medium,National Highway,120.0,4,2.0,0,High,0.1321210735768195
A000032,11.030682,76.924574,Tamil Nadu,Coimbatore,10,Tue,Clear,Daylight,Medium,State Highway,100.0,2,0.0,0,Low,-1.558035169433042
A000033,21.126411,79.076093,Maharashtra,Nagpur,3,Sun,Dust,Darkness - lights lit,Medium,State Highway,60.0,2,3.0,0,High,0.9643868129057286
A000034,17.795213,89.737771,Various,Rural Area,11,Tue,Rain,Daylight,Low,Urban Road,30.0,1,0.0,0,Low,1.1628648237368906
A000035,21.194966,79.094957,Maharashtra,Nagpur,21,Thu,Clear,Darkness - lights lit,Medium,Urban Road,40.0,2,0.0,0,Low,-1.7102781645032326
A000036,12.981678,77.609432,Karnataka,Bengaluru,1,Tue,RAIN,Darkness - lights lit,Medium,National Highway,120.0,3,4.0,0,High,0.26224591382103263
A000037,20.209135,77.04039,Maharashtra,Nagpur-Pune Corridor,17,Thu,Clear,Daylight,High,National Highway,120.0,3,3.0,0,Medium,-0.004334759074561592
A000038,21.269491,78.203336,West Bengal,Surat-Kolkata Corridor,7,Tue,Clear,Daylight,Medium,State Highway,60.0,3,1.0,0,Medium,-0.3744521843838256
A000039,21.265659,76.120846,Punjab,Coimbatore-Ludhiana Corridor,20,Sat,Clear,Darkness - lights lit,Low,State Highway,100.0,3,2.0,0,High,-0.17718440390727497
A000040,25.597775,85.196804,Bihar,Patna,6,Fri,Clear,Daylight,High,National Highway,,1,3.0,0,Medium,1.0769400404831544
A000041,23.252312,77.416423,Madhya Pradesh,Bhopal,6,Tue,Clear,Daylight,,Urban Road,30.0,2,0.0,0,Low,-1.5644121189595142
A000042,19.195167,72.995385,Maharashtra,Thane,16,Thu,Rain,Daylight,Medium,,80.0,1,2.0,0,Medium,-1.2095195546300122
A000043,28.716147,77.151908,Delhi,Delhi,16,Sun,Clear,Daylight,Medium,State Highway,60.0,3,2.0,0,Medium,-0.33859872825815335
A000044,22.608264,88.362661,West Bengal,Kolkata,4,Sat,Rain,Darkness - lights lit,High,National Highway,,1,3.0,0,Low,0.21063919348108093
A000045,25.593836,85.151142,Bihar,Patna,19,Fri,Rain,Darkness - lights lit,High,Urban Road,30.0,3,5.0,0,High,-0.40237770588340704
A000046,17.680861,83.232805,Andhra Pradesh,Visakhapatnam,16,Thu,Clear,Daylight,Medium,State Highway,100.0,2,1.0,0,High,0.5266746596887792
A000047,21.241896,72.812968,Gujarat,Surat,19,Fri,Clear,Darkness - lights lit,High,Rural Road,60.0,4,2.0,0,Medium,-0.22969159697806604
A000048,17.091051,73.661653,Tamil Nadu,Coimbatore-Mumbai Corridor,7,Sat,clear,Daylight,,Rural Road,80.0,3,,0,High,0.9640298784760178
A000049,26.843728,75.830274,Rajasthan,Jaipur,9,Sun,Rain,Daylight,Medium,Urban Road,50.0,4,4.0,1,High,0.7381715862520322
A000050,13.800282,79.662393,Tamil Nadu,Nagpur-Chennai Corridor,17,Thu,Clear,Daylight,Medium,Urban Road,,3,1.0,0,Low,-0.8459635851506482
A000051,21.025605,72.816827,Maharashtra,Surat-Mumbai Corridor,8,Fri,Rain,Daylight,Low,Rural Road,40.0,1,1.0,0,Low,0.9124008395263891
A000052,28.542201,68.667656,Various,Rural Area,18,Fri,Rain,Darkness - lights lit,Low,State Highway,60.0,1,2.0,0,Low,-0.03296796274911172
A000053,26.859265,80.934521,Uttar Pradesh,Lucknow,9,Sun,Clear,Daylight,High,National Highway,120.0,3,2.0,1,High,0.7607211693000027
A000054,19.243516,72.976945,Maharashtra,Thane,16,Fri,Clear,Daylight,Medium,Rural Road,40.0,2,0.0,0,Low,1.4370787974899628
A000055,22.552426,88.344247,West Bengal,Kolkata,14,Wed,Overcast,Daylight,Medium,State Highway,60.0,3,0.0,0,Low,-0.9278649120329345
A000056,10.999785,76.989667,Tamil Nadu,Coimbatore,13,Sun,Rain,Daylight,High,State Highway,100.0,2,5.0,0,High,0.2613157006100716
A000057,19.05114,72.905349,Maharashtra,Mumbai,21,Fri,Clear,Darkness - lights lit,High,Urban Road,40.0,4,0.0,0,Low,0.24244103886900883
A000058,22.743977,75.801279,Madhya Pradesh,Indore,21,Mon,Clear,Darkness - lights lit,High,Urban Road,30.0,6,0.0,0,Low,0.6817397971013346
A000059,23.280565,77.426603,Madhya Pradesh,Bhopal,5,Sun,Fog,Darkness - lights lit,Medium,Urban Road,,3,1.0,1,High,-0.1911167820233756
A000060,25.065197,77.010791,Gujarat,Ahmedabad-Delhi Corridor,19,Fri,Clear,Darkness - lights lit,High,Urban Road,30.0,2,0.0,0,Low,1.8506516443226044
A000061,12.93085,77.580517,Karnataka,Bengaluru,17,Sat,Clear,Daylight,High,National Highway,100.0,4,2.0,0,High,0.9154495681217252
A000062,12.944636,77.567311,Karnataka,Bengaluru,19,Sun,Clear,Darkness - lights lit,High,Urban Road,50.0,3,3.0,0,High,-1.4118395660838245
A000063,23.129761,87.367643,Punjab,Kolkata-Ludhiana Corridor,19,Fri,Rain,Darkness - lights lit,Medium,Rural Road,40.0,2,0.0,0,Low,0.8946040446768254
A000064,26.91948,75.79428,Rajasthan,Jaipur,22,Fri,Clear,Darkness - lights lit,Medium,Urban Road,50.0,2,1.0,0,Low,-0.5258718955363498
A000065,25.584866,85.117833,Bihar,Patna,20,Tue,Overcast,Darkness - lights lit,Medium,Urban Road,50.0,2,9.0,0,High,-0.1371162372843214
A000066,18.48287,73.934879,Maharashtra,Pune,9,Sat,Clear,Daylight,,Urban Road,40.0,1,2.0,0,Low,1.5569344595621342
A000067,17.727236,83.257422,Andhra Pradesh,Visakhapatnam,10,Sat,Clear,Daylight,High,State Highway,100.0,2,3.0,0,Medium,-0.37355791235053576
A000068,23.290204,77.406712,Madhya Pradesh,Bhopal,11,Thu,Clear,Daylight,Low,Rural Road,80.0,1,1.0,0,Medium,-2.1744156085249724
A000069,21.248131,72.811589,Gujarat,Surat,8,Mon,Clear,Daylight,Medium,National Highway,80.0,3,3.0,0,Medium,0.08650048423797563
A000070,9.172618,71.17456,Various,Rural Area,11,Tue,Clear,Daylight,Medium,Rural Road,,2,5.0,0,High,-0.5965622854286209
A000071,19.546822,73.080767,Maharashtra,Nagpur-Mumbai Corridor,22,Fri,Rain,Darkness - lights lit,High,Urban Road,30.0,1,1.0,0,Low,-0.43248772708713157
A000072,19.08109,72.87761,Maharashtra,Mumbai,21,Mon,Clear,Darkness - lights lit,Medium,Urban Road,50.0,1,4.0,0,High,0.44574546602181725
A000073,23.249092,75.892686,Delhi,Delhi-Ahmedabad Corridor,8,Mon,Clear,Daylight,High,National Highway,100.0,1,1.0,0,Medium,0.5448736865453861
A000074,9.599443,93.604282,Various,Rural Area,14,Mon,Dust,Daylight,Low,Urban Road,50.0,4,2.0,0,High,-0.4559837610752272
A000075,22.994652,72.589231,Gujarat,Ahmedabad,21,Wed,,Darkness - lights lit,High,State Highway,100.0,1,2.0,0,High,0.707035100780383
A000076,19.639311,73.993876,Madhya Pradesh,Indore-Pune Corridor,10,Sat,Clear,Daylight,Low,Urban Road,50.0,2,1.0,0,Low,-1.3453648929267659
A000077,22.658436,75.685407,Gujarat,Vadodara-Indore Corridor,6,Sun,Rain,Daylight,Medium,Urban Road,40.0,1,3.0,0,Low,-0.5654656492818311
A000078,25.575228,85.132543,Bihar,Patna,20,Tue,Clear,Darkness - lights lit,Medium,Urban Road,30.0,1,0.0,0,Low,0.9188372476640584
A000079,13.085369,80.305677,Tamil Nadu,Chennai,20,Sat,RAIN,Darkness - lights lit,Medium,Urban Road,40.0,1,2.0,0,Low,0.05725689141606384
A000080,30.291362,95.971094,Various,Rural Area,19,Wed,Clear,Darkness - lights lit,Low,State Highway,80.0,3,4.0,0,High,-0.6575537884223402
A000081,25.58934,85.102001,Bihar,Patna,15,Thu,Clear,Daylight,Medium,Urban Road,50.0,3,0.0,0,Low,0.6815481794114883
A000082,28.715065,77.055108,Delhi,Delhi,7,Sat,Clear,Daylight,Medium,Urban Road,50.0,4,1.0,0,Low,-0.6864540039374258
A000083,13.119155,80.292963,Tamil Nadu,Chennai,22,Mon,Dust,Darkness - lights lit,Medium,Urban Road,40.0,1,1.0,0,Low,0.677213087338787
A000084,21.181302,79.068379,Maharashtra,Nagpur,22,Sun,Clear,Darkness - lights lit,High,Urban Road,30.0,1,1.0,1,Medium,-0.6752275581830856
A000085,23.050079,72.587976,Gujarat,Ahmedabad,1,Tue,Rain,Darkness - lights lit,Low,Rural Road,40.0,4,3.0,0,Low,0.7257515048476721
A000086,11.036342,77.015096,Tamil Nadu,Coimbatore,16,Thu,Rain,Daylight,Low,State Highway,60.0,1,3.0,0,Medium,1.643988682218716
A000087,25.644246,85.131479,Bihar,Patna,21,Tue,Clear,Darkness - lights lit,Low,National Highway,100.0,1,3.0,0,High,-0.7901773150757933
A000088,21.129859,72.819995,Gujarat,Surat,20,Tue,,Darkness - lights lit,Medium,Rural Road,40.0,5,2.0,0,Medium,0.8761935858724486
A000089,21.209708,72.844279,Gujarat,Surat,18,Sun,Overcast,Darkness - lights lit,Medium,State Highway,100.0,2,4.0,0,High,-0.5272926116390378
A000090,13.061589,80.266439,Tamil Nadu,Chennai,12,Mon,Clear,Daylight,Medium,State Highway,100.0,3,3.0,0,High,0.22657317280514766
A000091,10.974611,76.939221,Tamil Nadu,Coimbatore,7,Sun,Fog,Daylight,Medium,State Highway,60.0,3,2.0,0,Medium,0.636345315175393
A000092,12.922498,77.630771,Karnataka,Bengaluru,15,Sun,Rain,Daylight,Medium,Urban Road,,4,1.0,0,High,-1.0622855896698393
A000093,17.366284,78.470598,Telangana,Hyderabad,4,Thu,Clear,Darkness - lights lit,Medium,Urban Road,40.0,2,0.0,0,Medium,-0.12637084218798963
A000094,23.082918,75.372513,Various,Rural Area,14,Thu,Clear,Daylight,Low,Urban Road,30.0,1,2.0,0,Low,-0.9343814628938342
A000095,17.673047,83.200685,Andhra Pradesh,Visakhapatnam,22,Mon,Clear,Darkness - lights lit,High,Urban Road,30.0,2,3.0,0,Low,-1.3612791374271647
A000096,23.615848,95.285385,Various,Rural Area,20,Thu,Rain,Darkness - lights lit,Low,Urban Road,30.0,1,4.0,0,Medium,-0.46401597972261205
A000097,17.723496,83.239327,Andhra Pradesh,Visakhapatnam,22,Wed,Clear,Darkness - lights lit,high,Rural Road,60.0,3,1.0,0,Low,1.1128043256096187
A000098,26.786113,80.978342,Uttar Pradesh,Lucknow,15,Thu,Clear,Daylight,Medium,Urban Road,50.0,1,0.0,0,Low,0.9685739127867364
A000099,16.904531,76.790895,Tamil Nadu,Coimbatore-Indore Corridor,21,Tue,Rain,Darkness - lights lit,Low,National Highway,100.0,2,2.0,0,Medium,0.31311562428493045
A000100,18.512282,73.894555,Maharashtra,Pune,21,Mon,Clear,Darkness - lights lit,Medium,Rural Road,80.0,2,,0,Medium,-0.4400796724795516
A000101,11.032473,76.962005,Tamil Nadu,Coimbatore,15,Mon,Clear,Daylight,high,National Highway,120.0,4,2.0,0,Medium,0.7583424876762803
A000102,22.53862,77.315144,Maharashtra,Nagpur-Delhi Corridor,20,Fri,Clear,Darkness - lights lit,Low,Urban Road,40.0,1,3.0,0,Medium,0.3349347432288929
A000103,19.223595,72.986062,Maharashtra,Thane,15,Sun,Clear,Daylight,Medium,State Highway,100.0,5,0.0,0,Medium,0.8431189207222058
A000104,22.672119,77.541959,Telangana,Hyderabad-Delhi Corridor,7,Sun,Clear,Daylight,Medium,Urban Road,30.0,2,0.0,0,Low,-0.4629573162523005
A000105,12.915554,77.535376,Karnataka,Bengaluru,19,Fri,Clear,Darkness - lights lit,High,State Highway,60.0,2,5.0,0,High,0.3648559855510585
